Accession	Description	GeneName	Peptides	PSMs	AAs	MW.kDA	pI	QuantifyingPSMs	T37	T40	T47	T53	T59	T63	T69	T75	T81	T87
P31119	Bifunctional protein Aas OS=Escherichia coli (strain K12) GN=aas PE=1 SV=2	0	0	0	0	0	0	0	1	1.1083996863	1.0366468086	0.918967128	0.3032332102	0.1190064505	0.1190064505	0.0528648031	0.04525177	0.042773388
P0ABD5	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha OS=Escherichia coli (strain K12) GN=accA PE=1 SV=2	0	0	0	0	0	0	0	1	1.0493177994	1.0396793154	1.0461505175	0.6017858545	0.0909539713	0.0909539713	0.0477280253	0.0401756552	0.0389932194
P0ABD8	Biotin carboxyl carrier protein of acetyl-CoA carboxylase OS=Escherichia coli (strain K12) GN=accB PE=1 SV=1	0	0	0	0	0	0	0	1	1.1125935479	1.1248896537	1.082392413	0.6822027544	0.5578756646	0.5578756646	0.6234735703	0.701828567	0.6939410339
P24182	Biotin carboxylase OS=Escherichia coli (strain K12) GN=accC PE=1 SV=2	0	0	0	0	0	0	0	1	1.0684332431	1.0406022593	0.8177010506	0.0768700703	0.0646145572	0.0646145572	0.0489093645	0.0451357615	0.0456998331
P0A9Q5	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta OS=Escherichia coli (strain K12) GN=accD PE=1 SV=1	0	0	0	0	0	0	0	1	1.0837365782	1.068128598	1.0700815219	0.6721478003	0.1171803154	0.1171803154	0.0582137747	0.0508888658	0.0475673139
P0A9G6	Isocitrate lyase OS=Escherichia coli (strain K12) GN=aceA PE=1 SV=1	0	0	0	0	0	0	0	1	1.0404061705	0.7788977812	0.1758331147	0.0606635947	0.0415524648	0.0415524648	0.0213898483	0.0171374637	0.0170147524
P08997	Malate synthase A OS=Escherichia coli (strain K12) GN=aceB PE=1 SV=1	0	0	0	0	0	0	0	1	1.0598691754	1.0616207504	0.8381572422	0.1146257213	0.0915660482	0.0915660482	0.0306587601	0.0264823951	0.0224353259
P0AFG8	Pyruvate dehydrogenase E1 component OS=Escherichia coli (strain K12) GN=aceE PE=1 SV=2	0	0	0	0	0	0	0	1	1.1158930697	1.0090100142	0.6992731269	0.0780973389	0.0457339997	0.0457339997	0.0224451155	0.0185239414	0.0183399477
P06959	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex OS=Escherichia coli (strain K12) GN=aceF PE=1 SV=3	0	0	0	0	0	0	0	1	1.0723327341	1.0397012163	0.787570995	0.2949552612	0.1931547094	0.1931547094	0.0300382342	0.0244971648	0.0225965079
P0A6A3	Acetate kinase OS=Escherichia coli (strain K12) GN=ackA PE=1 SV=1	0	0	0	0	0	0	0	1	1.0913217226	1.0124871656	1.0910240647	0.715701001	0.386090902	0.386090902	0.029318783	0.0221460345	0.0178173559
P25516	Aconitate hydratase A OS=Escherichia coli (strain K12) GN=acnA PE=1 SV=3	0	0	0	0	0	0	0	1	1.1053049142	1.0479596712	1.0544609958	0.7632854746	0.4516952861	0.4516952861	0.1400439757	0.0441884271	0.0304487553
P36683	Aconitate hydratase B OS=Escherichia coli (strain K12) GN=acnB PE=1 SV=3	0	0	0	0	0	0	0	1	1.0748518182	1.017593688	0.5456177262	0.1875602325	0.1522564617	0.1522564617	0.0343563208	0.0279836024	0.0276239019
P0A6A8	Acyl carrier protein OS=Escherichia coli (strain K12) GN=acpP PE=1 SV=2	0	0	0	0	0	0	0	1	1.1636710594	1.1226587179	1.0450219466	0.5456363484	0.4073882572	0.4073882572	0.3052724244	0.2985060879	0.2631492601
P24224	Holo-[acyl-carrier-protein] synthase OS=Escherichia coli (strain K12) GN=acpS PE=1 SV=3	0	0	0	0	0	0	0	1	1.0370309899	1.0125437489	0.5431712621	0.2206082239	0.0925023321	0.0925023321	0.0461055598	0.0354789217	0.0372657975
P0AE06	Multidrug efflux pump subunit AcrA OS=Escherichia coli (strain K12) GN=acrA PE=1 SV=1	0	0	0	0	0	0	0	1	1.0404712662	1.0852781356	0.530577808	0.3885953931	0.3904918752	0.3904918752	0.2858360589	0.300493575	0.3161174542
P31224	Multidrug efflux pump subunit AcrB OS=Escherichia coli (strain K12) GN=acrB PE=1 SV=1	0	0	0	0	0	0	0	1	1.0167360024	1.0130113038	0.8512792886	0.709760574	0.3493825338	0.3493825338	0.1835482755	0.143732975	0.1096173193
P0ACS9	HTH-type transcriptional regulator AcrR OS=Escherichia coli (strain K12) GN=acrR PE=1 SV=1	0	0	0	0	0	0	0	1	1.0920482113	1.0383231557	0.6806389164	0.1340886218	0.0776393474	0.0776393474	0.0415093971	0.0340963455	0.0317497054
P27550	Acetyl-coenzyme A synthetase OS=Escherichia coli (strain K12) GN=acs PE=1 SV=2	0	0	0	0	0	0	0	1	1.0304912986	1.0342897697	0.653790449	0.1298420606	0.0937466729	0.0937466729	0.0493620021	0.0435121636	0.0353984753
P26646	Probable acrylyl-CoA reductase AcuI OS=Escherichia coli (strain K12) GN=acuI PE=1 SV=1	0	0	0	0	0	0	0	1	1.0225181519	1.0265464863	0.2105809459	0.0799497627	0.0511947849	0.0511947849	0.0412028157	0.0360051812	0.0332492348
P22333	Adenosine deaminase OS=Escherichia coli (strain K12) GN=add PE=3 SV=2	0	0	0	0	0	0	0	1	1.0130625227	0.9075270858	0.3357195794	0.1403834335	0.1113456171	0.1113456171	0.0598169529	0.0513650982	0.0481824593
P31441	Adenine deaminase OS=Escherichia coli (strain K12) GN=ade PE=1 SV=2	0	0	0	0	0	0	0	1	1.0671012854	1.0174741918	0.8046075755	0.4688742825	0.2674744698	0.2674744698	0.0361782651	0.0265780845	0.0233729324
P31466	Adenine permease AdeP OS=Escherichia coli (strain K12) GN=adeP PE=1 SV=2	0	0	0	0	0	0	0	1	1.0237856421	1.0010779376	0.6080477313	0.4210255925	0.3909263757	0.3909263757	0.1808077786	0.0962712892	0.0706804903
P0A9Q7	Aldehyde-alcohol dehydrogenase OS=Escherichia coli (strain K12) GN=adhE PE=1 SV=2	0	0	0	0	0	0	0	1	1.0563531913	0.9752469378	0.5617751557	0.3835170672	0.3444061862	0.3444061862	0.027817978	0.0219545852	0.0199191917
P39451	"Alcohol dehydrogenase	0	0	0	0	0	0	0	0.0503831085	1	1.0986951812	1.0689078871	1.0003333315	0.8435710769	0.8435710769	0.0457406854	0.0512080855	0.0439727552
P69441	Adenylate kinase OS=Escherichia coli (strain K12) GN=adk PE=1 SV=1	0	0	0	0	0	0	0	1	1.05388912	1.0252904146	0.8467322817	0.2595325335	0.196824875	0.196824875	0.2330481921	0.2658100312	0.306771886
P0ACK2	Putative aga operon transcriptional repressor OS=Escherichia coli (strain K12) GN=agaR PE=4 SV=1	0	0	0	0	0	0	0	1	1.077316667	1.0441436428	0.8382661959	0.5710224817	0.4419828048	0.4419828048	0.0450036962	0.0339867784	0.028728704
P19926	Glucose-1-phosphatase OS=Escherichia coli (strain K12) GN=agp PE=1 SV=1	0	0	0	0	0	0	0	1	1.0491229483	1.0576394284	1.1117762426	1.0253626163	0.1078201875	0.1078201875	0.0432372942	0.0380288941	0.0334203132
P0AE08	Alkyl hydroperoxide reductase subunit C OS=Escherichia coli (strain K12) GN=ahpC PE=1 SV=2	0	0	0	0	0	0	0	1	1.2436356794	1.0734237633	1.061207907	0.5637862229	0.2593063755	0.2593063755	0.0392222939	0.0340167217	0.037077977
P35340	Alkyl hydroperoxide reductase subunit F OS=Escherichia coli (strain K12) GN=ahpF PE=1 SV=2	0	0	0	0	0	0	0	1	1.1142412723	1.0380628605	0.940344881	0.2993352485	0.1279227769	0.1279227769	0.0343806168	0.026502428	0.024082863
P27250	Aldehyde reductase Ahr OS=Escherichia coli (strain K12) GN=ahr PE=1 SV=2	0	0	0	0	0	0	0	1	1.1120267175	1.0536407523	0.9757386008	0.5445530737	0.2015370291	0.2015370291	0.0823510402	0.0629800374	0.0591934495
P33224	Putative acyl-CoA dehydrogenase AidB OS=Escherichia coli (strain K12) GN=aidB PE=1 SV=3	0	0	0	0	0	0	0	1	1.0966299662	1.0749820761	0.8935380569	0.5119555328	0.1683786025	0.1683786025	0.0612212613	0.044652166	0.0360425183
P0A959	Glutamate-pyruvate aminotransferase AlaA OS=Escherichia coli (strain K12) GN=alaA PE=1 SV=1	0	0	0	0	0	0	0	1	0.9632373528	0.85165942	0.4972566863	0.246297528	0.1691122151	0.1691122151	0.043123249	0.0285923174	0.0265480552
P77434	Glutamate-pyruvate aminotransferase AlaC OS=Escherichia coli (strain K12) GN=alaC PE=1 SV=1	0	0	0	0	0	0	0	1	1.0116693042	0.9298850315	0.3568236085	0.1154992409	0.0780527385	0.0780527385	0.0387340697	0.0248884258	0.0236247325
P00957	Alanine--tRNA ligase OS=Escherichia coli (strain K12) GN=alaS PE=1 SV=2	0	0	0	0	0	0	0	1	1.1387410725	0.8072658577	1.1609981759	0.4108682084	0.0475111445	0.0475111445	0.0235547007	0.021297146	0.0178482693
P25553	Lactaldehyde dehydrogenase OS=Escherichia coli (strain K12) GN=aldA PE=1 SV=2	0	0	0	0	0	0	0	1	1.0850352848	1.0719136731	1.1289130168	0.7663222223	0.108069915	0.108069915	0.0319446585	0.0280672346	0.0288479711
P37685	Aldehyde dehydrogenase B OS=Escherichia coli (strain K12) GN=aldB PE=1 SV=2	0	0	0	0	0	0	0	1	1.0859931732	1.0703704728	1.0107106328	0.300217324	0.1289310242	0.1289310242	0.0313247273	0.0233870712	0.0231147221
P75713	(S)-ureidoglycine aminohydrolase OS=Escherichia coli (strain K12) GN=allE PE=1 SV=1	0	0	0	0	0	0	0	1	1.0465809227	1.0038028121	0.5388952478	0.2268641099	0.1749738851	0.1749738851	0.1023706414	0.0417187531	0.0366961735
P0ACN4	HTH-type transcriptional repressor AllR OS=Escherichia coli (strain K12) GN=allR PE=1 SV=1	0	0	0	0	0	0	0	1	1.1059808002	1.0722862912	0.7951724835	0.3254918937	0.1307629148	0.1307629148	0.049554841	0.0371671394	0.0371872992
P0A6B4	"Alanine racemase	0	0	0	0	0	0	0	0.0343526639	1	1.0897041477	0.9561691893	0.2782058293	0.1391132528	0.1391132528	0.0479804825	0.0342027932	0.0275210336
P39265	D-allose-binding periplasmic protein OS=Escherichia coli (strain K12) GN=alsB PE=1 SV=1	0	0	0	0	0	0	0	1	1.0625889586	1.0729840732	0.7919713883	0.2514927668	0.1860541962	0.1860541962	0.1575152895	0.1907706199	0.2300289177
P36548	N-acetylmuramoyl-L-alanine amidase AmiA OS=Escherichia coli (strain K12) GN=amiA PE=1 SV=1	0	0	0	0	0	0	0	1	1.0529060324	1.0504127186	0.6042859498	0.1760258581	0.126167051	0.126167051	0.0716531102	0.0682874199	0.0676128197
P26365	N-acetylmuramoyl-L-alanine amidase AmiB OS=Escherichia coli (strain K12) GN=amiB PE=1 SV=2	0	0	0	0	0	0	0	1	1.0166357911	1.0632648443	0.6840876081	0.2061788779	0.128325298	0.128325298	0.0688101332	0.068982406	0.0687328201
P63883	N-acetylmuramoyl-L-alanine amidase AmiC OS=Escherichia coli (strain K12) GN=amiC PE=1 SV=1	0	0	0	0	0	0	0	1	1.1213514857	1.0516173977	0.6168670392	0.1599322589	0.1022636426	0.1022636426	0.0468704427	0.0329399464	0.0285396256
P0AE12	AMP nucleosidase OS=Escherichia coli (strain K12) GN=amn PE=1 SV=1	0	0	0	0	0	0	0	1	1.1838648453	1.0524258219	1.0064562124	0.9085315379	0.7594043015	0.7594043015	0.0553264262	0.0485139693	0.0453679873
P00811	Beta-lactamase OS=Escherichia coli (strain K12) GN=ampC PE=1 SV=1	0	0	0	0	0	0	0	1	1.0712946362	1.0324249713	0.9333931293	0.6722594679	0.1420096511	0.1420096511	0.0384453135	0.026437803	0.032330316
