Accession	Description	GeneName	Peptides	PSMs	AAs	MW.kDA	pI	QuantifyingPSMs	T37	T40	T47	T53	T59	T63	T69	T75	T81	T87
P31119	Bifunctional protein Aas OS=Escherichia coli (strain K12) GN=aas PE=1 SV=2	0	0	0	0	0	0	0	1	1.0874944992	1.066346103	0.8314772805	0.3473165613	0.1508323606	0.1508323606	0.0585406717	0.0500912528	0.0448239674
P0ABD5	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha OS=Escherichia coli (strain K12) GN=accA PE=1 SV=2	0	0	0	0	0	0	0	1	1.0777010347	1.0518341907	0.9163081	0.329468684	0.0957110855	0.0957110855	0.0407230496	0.0339466778	0.0353466497
P0ABD8	Biotin carboxyl carrier protein of acetyl-CoA carboxylase OS=Escherichia coli (strain K12) GN=accB PE=1 SV=1	0	0	0	0	0	0	0	1	0.9250911748	0.9295701784	0.7275575153	0.4359862445	0.3617218308	0.3617218308	0.4237343391	0.5208625328	0.5374004221
P24182	Biotin carboxylase OS=Escherichia coli (strain K12) GN=accC PE=1 SV=2	0	0	0	0	0	0	0	1	1.0983456932	1.0798859748	0.9228552974	0.1767476586	0.1121950814	0.1121950814	0.0418848245	0.0368169574	0.0369964629
P0A9Q5	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta OS=Escherichia coli (strain K12) GN=accD PE=1 SV=1	0	0	0	0	0	0	0	1	1.0729986665	1.0335732825	0.9504365581	0.4236560624	0.1327264389	0.1327264389	0.0701453682	0.0643369971	0.0596278076
P0A9G6	Isocitrate lyase OS=Escherichia coli (strain K12) GN=aceA PE=1 SV=1	0	0	0	0	0	0	0	1	1.0627902064	1.033369981	0.3701306129	0.111072938	0.0715514845	0.0715514845	0.0287350036	0.0230750088	0.0233402604
P08997	Malate synthase A OS=Escherichia coli (strain K12) GN=aceB PE=1 SV=1	0	0	0	0	0	0	0	1	1.0481597575	1.0586968471	0.8536079545	0.1677104863	0.1070292154	0.1070292154	0.0283467546	0.0241388079	0.0236039839
P0AFG8	Pyruvate dehydrogenase E1 component OS=Escherichia coli (strain K12) GN=aceE PE=1 SV=2	0	0	0	0	0	0	0	1	1.1056506656	1.0646661677	0.6056240271	0.1376208062	0.0670160796	0.0670160796	0.0221276908	0.0187767533	0.0191018042
P06959	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex OS=Escherichia coli (strain K12) GN=aceF PE=1 SV=3	0	0	0	0	0	0	0	1	1.0842658433	1.0882156225	0.7396033563	0.3427817024	0.2245543867	0.2245543867	0.0358887235	0.0306410412	0.0299192462
P0A6A3	Acetate kinase OS=Escherichia coli (strain K12) GN=ackA PE=1 SV=1	0	0	0	0	0	0	0	1	1.0768254719	1.0517566531	0.9651731148	0.63544543	0.3481138353	0.3481138353	0.0304586024	0.0206908072	0.0199542119
P25516	Aconitate hydratase A OS=Escherichia coli (strain K12) GN=acnA PE=1 SV=3	0	0	0	0	0	0	0	1	1.0981679598	1.0568109394	0.9834126705	0.5483129651	0.3031225096	0.3031225096	0.0940760986	0.0402290754	0.035401023
P36683	Aconitate hydratase B OS=Escherichia coli (strain K12) GN=acnB PE=1 SV=3	0	0	0	0	0	0	0	1	1.0817965348	1.0173592338	0.4892901834	0.209606713	0.1526278931	0.1526278931	0.0609115537	0.053509388	0.0538721748
P0A6A8	Acyl carrier protein OS=Escherichia coli (strain K12) GN=acpP PE=1 SV=2	0	0	0	0	0	0	0	1	0.9708932182	0.9048939126	0.8041496597	0.6049909965	0.4768502744	0.4768502744	1.047520251	0.9785412484	0.9244664113
P24224	Holo-[acyl-carrier-protein] synthase OS=Escherichia coli (strain K12) GN=acpS PE=1 SV=3	0	0	0	0	0	0	0	1	1.0871373178	1.0284844652	0.6527737136	0.3312581831	0.2501252973	0.2501252973	0.0519987203	0.0436098946	0.0441352076
P0AE06	Multidrug efflux pump subunit AcrA OS=Escherichia coli (strain K12) GN=acrA PE=1 SV=1	0	0	0	0	0	0	0	1	1.0800674731	1.0128456233	0.6029406781	0.4061815291	0.418539166	0.418539166	0.3101342123	0.3221429623	0.2903330933
P31224	Multidrug efflux pump subunit AcrB OS=Escherichia coli (strain K12) GN=acrB PE=1 SV=1	0	0	0	0	0	0	0	1	1.1143610568	0.9600770897	0.8536521419	0.612225782	0.2692090019	0.2692090019	0.1147564536	0.0847627864	0.0690929543
P0ACS9	HTH-type transcriptional regulator AcrR OS=Escherichia coli (strain K12) GN=acrR PE=1 SV=1	0	0	0	0	0	0	0	1	1.052818618	1.0588790465	0.5095413492	0.147440804	0.094762168	0.094762168	0.0557197191	0.0394817839	0.0360502549
P27550	Acetyl-coenzyme A synthetase OS=Escherichia coli (strain K12) GN=acs PE=1 SV=2	0	0	0	0	0	0	0	1	1.105837306	1.0282237524	0.6435832568	0.1922002911	0.1213010902	0.1213010902	0.0553524356	0.0542319128	0.0503923487
P26646	Probable acrylyl-CoA reductase AcuI OS=Escherichia coli (strain K12) GN=acuI PE=1 SV=1	0	0	0	0	0	0	0	1	1.0711870138	0.9904464211	0.3719174329	0.1358051465	0.0857015017	0.0857015017	0.0324742849	0.0299617059	0.0285572367
P22333	Adenosine deaminase OS=Escherichia coli (strain K12) GN=add PE=3 SV=2	0	0	0	0	0	0	0	1	1.0221675685	0.9797606799	0.4211753039	0.1544424356	0.1113230335	0.1113230335	0.0465531573	0.041867513	0.0388498434
P31441	Adenine deaminase OS=Escherichia coli (strain K12) GN=ade PE=1 SV=2	0	0	0	0	0	0	0	1	1.1052209574	1.0158875131	0.8521507238	0.5741534375	0.3680151766	0.3680151766	0.0536872509	0.0329439519	0.0312751982
P31466	Adenine permease AdeP OS=Escherichia coli (strain K12) GN=adeP PE=1 SV=2	0	0	0	0	0	0	0	1	1.0458922185	0.989235531	0.7034294031	0.4886803292	0.4099843713	0.4099843713	0.1290026761	0.0810529915	0.0466470366
P0A9Q7	Aldehyde-alcohol dehydrogenase OS=Escherichia coli (strain K12) GN=adhE PE=1 SV=2	0	0	0	0	0	0	0	1	1.1002158081	1.0201955593	0.6458308407	0.3333768629	0.2566161277	0.2566161277	0.0265695284	0.0189823397	0.019432209
P39451	"Alcohol dehydrogenase	0	0	0	0	0	0	0	0.0545113623	1	1.0650752465	1.0274271059	0.7404687357	0.5149416434	0.5149416434	0.0729135989	0.074425099	0.0665543098
P69441	Adenylate kinase OS=Escherichia coli (strain K12) GN=adk PE=1 SV=1	0	0	0	0	0	0	0	1	1.0480676149	1.0461950132	0.8148146154	0.3006997896	0.1690228305	0.1690228305	0.205684046	0.2422028045	0.2786016823
P0ACK2	Putative aga operon transcriptional repressor OS=Escherichia coli (strain K12) GN=agaR PE=4 SV=1	0	0	0	0	0	0	0	1	1.1137775193	1.0206508767	0.8257321613	0.5951421364	0.4431282537	0.4431282537	0.0355337369	0.0272195096	0.0253310243
P19926	Glucose-1-phosphatase OS=Escherichia coli (strain K12) GN=agp PE=1 SV=1	0	0	0	0	0	0	0	1	1.048453914	1.0550508296	0.7334452164	0.5848250398	0.0887288838	0.0887288838	0.0351915576	0.0291639591	0.0301236008
P0AE08	Alkyl hydroperoxide reductase subunit C OS=Escherichia coli (strain K12) GN=ahpC PE=1 SV=2	0	0	0	0	0	0	0	1	1.0645743176	1.0542560088	0.9238449052	0.6486147143	0.2710601719	0.2710601719	0.0344344531	0.0304348574	0.0306119646
P35340	Alkyl hydroperoxide reductase subunit F OS=Escherichia coli (strain K12) GN=ahpF PE=1 SV=2	0	0	0	0	0	0	0	1	1.0912652775	1.0659662546	0.8654836118	0.3988932725	0.1364595084	0.1364595084	0.0362875242	0.0268377922	0.0227482686
P27250	Aldehyde reductase Ahr OS=Escherichia coli (strain K12) GN=ahr PE=1 SV=2	0	0	0	0	0	0	0	1	1.1115173939	1.0683319883	0.7987267841	0.4108237715	0.1290287655	0.1290287655	0.0555212867	0.0406873892	0.0459904036
P33224	Putative acyl-CoA dehydrogenase AidB OS=Escherichia coli (strain K12) GN=aidB PE=1 SV=3	0	0	0	0	0	0	0	1	1.1435531527	1.0222156218	0.8824218787	0.4000340487	0.1615282499	0.1615282499	0.0491376995	0.0392335114	0.0414920615
P0A959	Glutamate-pyruvate aminotransferase AlaA OS=Escherichia coli (strain K12) GN=alaA PE=1 SV=1	0	0	0	0	0	0	0	1	1.0064811353	0.9067221889	0.5336756261	0.278291612	0.1898746504	0.1898746504	0.0959761858	0.0684910199	0.0469589558
P77434	Glutamate-pyruvate aminotransferase AlaC OS=Escherichia coli (strain K12) GN=alaC PE=1 SV=1	0	0	0	0	0	0	0	1	1.1235246375	1.0813402584	0.5521529984	0.2102699253	0.1402228916	0.1402228916	0.0771329901	0.0664454488	0.0624449748
P00957	Alanine--tRNA ligase OS=Escherichia coli (strain K12) GN=alaS PE=1 SV=2	0	0	0	0	0	0	0	1	1.0826941624	1.0706224846	1.0220601717	0.4797918053	0.0878582554	0.0878582554	0.0330729392	0.028491985	0.0281429034
P25553	Lactaldehyde dehydrogenase OS=Escherichia coli (strain K12) GN=aldA PE=1 SV=2	0	0	0	0	0	0	0	1	1.0790982578	1.0507415251	0.9805811514	0.437146894	0.1142570271	0.1142570271	0.0394003227	0.0342651802	0.0363704754
P37685	Aldehyde dehydrogenase B OS=Escherichia coli (strain K12) GN=aldB PE=1 SV=2	0	0	0	0	0	0	0	1	1.0985375772	1.0446811768	0.9072258286	0.4093616342	0.1089795023	0.1089795023	0.0330598517	0.0222862755	0.0242796532
P75713	(S)-ureidoglycine aminohydrolase OS=Escherichia coli (strain K12) GN=allE PE=1 SV=1	0	0	0	0	0	0	0	1	1.1388576175	1.071655289	0.6650894582	0.2945220988	0.2421616967	0.2421616967	0.138894518	0.0511967348	0.0493084382
P0ACN4	HTH-type transcriptional repressor AllR OS=Escherichia coli (strain K12) GN=allR PE=1 SV=1	0	0	0	0	0	0	0	1	1.0614408839	1.0085188352	0.7351554471	0.3057118753	0.134336903	0.134336903	0.0352783037	0.0278242705	0.0387671527
P0A6B4	"Alanine racemase	0	0	0	0	0	0	0	0.0562693532	1	1.0573192792	0.9529386435	0.515849027	0.2366906578	0.2366906578	0.0571542538	0.0551336571	0.0509658595
P39265	D-allose-binding periplasmic protein OS=Escherichia coli (strain K12) GN=alsB PE=1 SV=1	0	0	0	0	0	0	0	1	1.0429759749	1.0250320288	0.6244211075	0.2484847574	0.1690185386	0.1690185386	0.1296575182	0.1454356281	0.159636892
P36548	N-acetylmuramoyl-L-alanine amidase AmiA OS=Escherichia coli (strain K12) GN=amiA PE=1 SV=1	0	0	0	0	0	0	0	1	1.0480810897	1.0149164537	0.6431461705	0.1781698529	0.1352624421	0.1352624421	0.0793896581	0.0667847979	0.0696254597
P26365	N-acetylmuramoyl-L-alanine amidase AmiB OS=Escherichia coli (strain K12) GN=amiB PE=1 SV=2	0	0	0	0	0	0	0	1	1.0486692678	1.0353202198	0.6370842697	0.1974550292	0.1403780255	0.1403780255	0.0690354668	0.0602146004	0.0571439249
P63883	N-acetylmuramoyl-L-alanine amidase AmiC OS=Escherichia coli (strain K12) GN=amiC PE=1 SV=1	0	0	0	0	0	0	0	1	1.0901634418	1.0223623463	0.6583135697	0.161930071	0.1156197614	0.1156197614	0.0504112209	0.038850078	0.0375975108
P0AE12	AMP nucleosidase OS=Escherichia coli (strain K12) GN=amn PE=1 SV=1	0	0	0	0	0	0	0	1	1.0661270199	1.0508899825	0.699290514	0.4411455441	0.4017642643	0.4017642643	0.0787804842	0.0673400869	0.0665632976
P00811	Beta-lactamase OS=Escherichia coli (strain K12) GN=ampC PE=1 SV=1	0	0	0	0	0	0	0	1	1.0916675239	1.0406048348	0.8093325626	0.5435345272	0.1754423541	0.1754423541	0.061265095	0.0530747523	0.0532107039
