Accession	Description	GeneName	Peptides	PSMs	AAs	MW.kDA	pI	QuantifyingPSMs	T37	T40	T47	T53	T59	T63	T69	T75	T81	T87
P31119	Bifunctional protein Aas OS=Escherichia coli (strain K12) GN=aas PE=1 SV=2	0	0	0	0	0	0	0	1	1.0565350077	1.0126580277	0.8750769894	0.342198008	0.1211949977	0.1211949977	0.0653094693	0.0541309185	0.0493322693
P0ABD5	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha OS=Escherichia coli (strain K12) GN=accA PE=1 SV=2	0	0	0	0	0	0	0	1	1.0839486058	1.0093036814	1.0261281182	0.6647698019	0.0822231376	0.0822231376	0.0490785971	0.0387582124	0.0374627326
P0ABD8	Biotin carboxyl carrier protein of acetyl-CoA carboxylase OS=Escherichia coli (strain K12) GN=accB PE=1 SV=1	0	0	0	0	0	0	0	1	1.0445256436	1.0116303725	1.0484317066	0.6413372557	0.5732899013	0.5732899013	0.613819823	0.6654775879	0.6481735974
P24182	Biotin carboxylase OS=Escherichia coli (strain K12) GN=accC PE=1 SV=2	0	0	0	0	0	0	0	1	1.0901886726	1.0680934814	0.8454350476	0.1057603105	0.0737234976	0.0737234976	0.0539672278	0.0482374707	0.0467407969
P0A9Q5	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta OS=Escherichia coli (strain K12) GN=accD PE=1 SV=1	0	0	0	0	0	0	0	1	1.1003383202	1.0492065684	1.0732776241	0.6827896015	0.1230301532	0.1230301532	0.0593574528	0.047870658	0.0469869872
P0A9G6	Isocitrate lyase OS=Escherichia coli (strain K12) GN=aceA PE=1 SV=1	0	0	0	0	0	0	0	1	1.0506729791	0.7730624063	0.1628524488	0.0485925279	0.034906014	0.034906014	0.0199081742	0.0172732753	0.015413365
P08997	Malate synthase A OS=Escherichia coli (strain K12) GN=aceB PE=1 SV=1	0	0	0	0	0	0	0	1	1.0730299881	1.0616562249	0.8356122292	0.1269769209	0.1042036648	0.1042036648	0.0381490876	0.0308626499	0.0295002524
P0AFG8	Pyruvate dehydrogenase E1 component OS=Escherichia coli (strain K12) GN=aceE PE=1 SV=2	0	0	0	0	0	0	0	1	1.1243385384	1.03786445	0.7093410872	0.0827337262	0.0444515359	0.0444515359	0.0221805716	0.0193868368	0.0176555205
P06959	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex OS=Escherichia coli (strain K12) GN=aceF PE=1 SV=3	0	0	0	0	0	0	0	1	1.1284165404	1.0487902783	0.826090192	0.3189199153	0.2052145215	0.2052145215	0.0314373619	0.0259504876	0.0247793075
P0A6A3	Acetate kinase OS=Escherichia coli (strain K12) GN=ackA PE=1 SV=1	0	0	0	0	0	0	0	1	1.0886101925	1.0526160636	1.0478867238	0.7340066341	0.3895319045	0.3895319045	0.0338456824	0.0234298125	0.0230815835
P25516	Aconitate hydratase A OS=Escherichia coli (strain K12) GN=acnA PE=1 SV=3	0	0	0	0	0	0	0	1	1.0927618363	1.0473549095	1.0364481683	0.7898502463	0.4779430686	0.4779430686	0.1568014713	0.0554012497	0.0405668466
P36683	Aconitate hydratase B OS=Escherichia coli (strain K12) GN=acnB PE=1 SV=3	0	0	0	0	0	0	0	1	1.0475642025	1.0313502932	0.5628500734	0.1930824674	0.1547399979	0.1547399979	0.0403887741	0.0348547261	0.0325218608
P0A6A8	Acyl carrier protein OS=Escherichia coli (strain K12) GN=acpP PE=1 SV=2	0	0	0	0	0	0	0	1	1.0230200469	1.1576448851	1.0040063095	0.5765191741	0.3829567076	0.3829567076	0.3335025935	0.3430217519	0.2438444382
P24224	Holo-[acyl-carrier-protein] synthase OS=Escherichia coli (strain K12) GN=acpS PE=1 SV=3	0	0	0	0	0	0	0	1	1.0728267858	1.0122970469	0.5485535072	0.2361037037	0.087797462	0.087797462	0.0448930418	0.036717563	0.0324436652
P0AE06	Multidrug efflux pump subunit AcrA OS=Escherichia coli (strain K12) GN=acrA PE=1 SV=1	0	0	0	0	0	0	0	1	1.0615096263	1.1206161487	0.5518211804	0.3723857352	0.3965400493	0.3965400493	0.2898063371	0.301778112	0.3192951663
P31224	Multidrug efflux pump subunit AcrB OS=Escherichia coli (strain K12) GN=acrB PE=1 SV=1	0	0	0	0	0	0	0	1	1.0757649454	1.0562182672	0.8063685195	0.6887525093	0.3438922181	0.3438922181	0.1714029009	0.1401496803	0.1154006351
P0ACS9	HTH-type transcriptional regulator AcrR OS=Escherichia coli (strain K12) GN=acrR PE=1 SV=1	0	0	0	0	0	0	0	1	1.0820737461	1.0319732041	0.6127064546	0.15065747	0.0933144278	0.0933144278	0.0506438295	0.0395109968	0.0359417896
P27550	Acetyl-coenzyme A synthetase OS=Escherichia coli (strain K12) GN=acs PE=1 SV=2	0	0	0	0	0	0	0	1	1.0405527273	1.0345521198	0.6777508379	0.1265660465	0.0883129531	0.0883129531	0.049034803	0.0434285721	0.0390629058
P26646	Probable acrylyl-CoA reductase AcuI OS=Escherichia coli (strain K12) GN=acuI PE=1 SV=1	0	0	0	0	0	0	0	1	1.0641919395	1.0277022816	0.2283211937	0.0824440278	0.0491849522	0.0491849522	0.0456592828	0.0344753817	0.0303121319
P22333	Adenosine deaminase OS=Escherichia coli (strain K12) GN=add PE=3 SV=2	0	0	0	0	0	0	0	1	1.004301972	0.9316146871	0.3766140727	0.1560051821	0.1204599637	0.1204599637	0.0582790733	0.0481464476	0.0475640188
P31441	Adenine deaminase OS=Escherichia coli (strain K12) GN=ade PE=1 SV=2	0	0	0	0	0	0	0	1	1.0577784902	1.0459695423	0.8105491225	0.5187819647	0.2571522409	0.2571522409	0.042458469	0.0260282708	0.0238922577
P31466	Adenine permease AdeP OS=Escherichia coli (strain K12) GN=adeP PE=1 SV=2	0	0	0	0	0	0	0	1	1.0409579365	1.0271055592	0.6683870624	0.3976328833	0.3200216698	0.3200216698	0.1362655541	0.0867657111	0.0763989422
P0A9Q7	Aldehyde-alcohol dehydrogenase OS=Escherichia coli (strain K12) GN=adhE PE=1 SV=2	0	0	0	0	0	0	0	1	1.0592951182	0.9805156452	0.5417519079	0.3590708714	0.3229759839	0.3229759839	0.0283961851	0.0230495341	0.0226259187
