Accession	Description	GeneName	Peptides	PSMs	AAs	MW.kDA	pI	QuantifyingPSMs	T37	T40	T47	T53	T59	T63	T69	T75	T81	T87
P31119	Bifunctional protein Aas OS=Escherichia coli (strain K12) GN=aas PE=1 SV=2	0	0	0	0	0	0	0	1	1.0142726387	0.9800092874	0.8724615872	0.6088632648	0.1869576336	0.1869576336	0.0629207366	0.0511892888	0.0606018978
P0ABD5	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha OS=Escherichia coli (strain K12) GN=accA PE=1 SV=2	0	0	0	0	0	0	0	1	0.9489799809	0.8933389085	0.7953620592	0.7619656467	0.0438259157	0.0438259157	0.0137997821	0.0107006683	0.013761471
P0ABD8	Biotin carboxyl carrier protein of acetyl-CoA carboxylase OS=Escherichia coli (strain K12) GN=accB PE=1 SV=1	0	0	0	0	0	0	0	1	1.0884674292	0.9340138202	0.9374994451	0.6359109268	0.2275625903	0.2275625903	0.1907190195	0.1864799724	0.2203733763
P24182	Biotin carboxylase OS=Escherichia coli (strain K12) GN=accC PE=1 SV=2	0	0	0	0	0	0	0	1	0.9710342068	0.9539073895	0.9222596536	0.3985963836	0.0755863924	0.0755863924	0.0267823997	0.0206690963	0.023933881
P0A9Q5	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta OS=Escherichia coli (strain K12) GN=accD PE=1 SV=1	0	0	0	0	0	0	0	1	0.9989857771	0.9415371491	0.8917416018	0.7816754878	0.1072796827	0.1072796827	0.0296945079	0.0256499777	0.0296087095
P0A9G6	Isocitrate lyase OS=Escherichia coli (strain K12) GN=aceA PE=1 SV=1	0	0	0	0	0	0	0	1	0.9730581947	0.8960082876	0.5927231814	0.0670758002	0.0406695508	0.0406695508	0.0156655949	0.0102517846	0.0111110545
P08997	Malate synthase A OS=Escherichia coli (strain K12) GN=aceB PE=1 SV=1	0	0	0	0	0	0	0	1	0.9581612164	0.9565483464	0.5853367371	0.120914021	0.074519605	0.074519605	0.0198225294	0.0167660361	0.0171706716
P0AFG8	Pyruvate dehydrogenase E1 component OS=Escherichia coli (strain K12) GN=aceE PE=1 SV=2	0	0	0	0	0	0	0	1	0.9805542394	0.9289119259	0.7782006552	0.2453907191	0.0377154441	0.0377154441	0.0125344921	0.0095676451	0.0106381773
P06959	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex OS=Escherichia coli (strain K12) GN=aceF PE=1 SV=3	0	0	0	0	0	0	0	1	0.9915303015	0.9495958952	0.8378297797	0.2677736538	0.0503943654	0.0503943654	0.0187037847	0.0141954695	0.0151680366
P0A6A3	Acetate kinase OS=Escherichia coli (strain K12) GN=ackA PE=1 SV=1	0	0	0	0	0	0	0	1	1.0180213668	0.981511156	0.970576743	0.9906392116	0.9398163849	0.9398163849	0.1057119501	0.0303677692	0.0294822967
P25516	Aconitate hydratase A OS=Escherichia coli (strain K12) GN=acnA PE=1 SV=3	0	0	0	0	0	0	0	1	0.9635846463	0.9672997855	0.8846899242	0.6784108251	0.4483439372	0.4483439372	0.1645168391	0.0586397578	0.0315758535
P36683	Aconitate hydratase B OS=Escherichia coli (strain K12) GN=acnB PE=1 SV=3	0	0	0	0	0	0	0	1	0.9776155346	0.9744435937	0.5959587383	0.1196085923	0.0913370883	0.0913370883	0.0244104709	0.0209505866	0.0251961174
P0A6A8	Acyl carrier protein OS=Escherichia coli (strain K12) GN=acpP PE=1 SV=2	0	0	0	0	0	0	0	1	1.006606929	1.0319363974	0.9762719352	0.5681200978	0.3606392445	0.3606392445	0.1846533903	0.1568668196	0.2131858528
P24224	Holo-[acyl-carrier-protein] synthase OS=Escherichia coli (strain K12) GN=acpS PE=1 SV=3	0	0	0	0	0	0	0	1	0.9904092915	0.9605204982	0.5807375577	0.3083742045	0.142247582	0.142247582	0.0445749954	0.0301729011	0.0322795563
P0AE06	Multidrug efflux pump subunit AcrA OS=Escherichia coli (strain K12) GN=acrA PE=1 SV=1	0	0	0	0	0	0	0	1	1.0079555104	0.9699272582	0.8819749777	0.766063479	0.7379400107	0.7379400107	0.1260860395	0.14613503	0.216878035
P31224	Multidrug efflux pump subunit AcrB OS=Escherichia coli (strain K12) GN=acrB PE=1 SV=1	0	0	0	0	0	0	0	1	0.9796865546	0.9753449214	0.8166253363	0.8465257049	0.8064929401	0.8064929401	0.0760625509	0.0391421223	0.0435530263
P27550	Acetyl-coenzyme A synthetase OS=Escherichia coli (strain K12) GN=acs PE=1 SV=2	0	0	0	0	0	0	0	1	0.9567763224	0.9674305057	0.8031542939	0.2144416914	0.104696982	0.104696982	0.0342757983	0.0274955433	0.0296278135
P32705	Cation/acetate symporter ActP OS=Escherichia coli (strain K12) GN=actP PE=1 SV=1	0	0	0	0	0	0	0	1	0.9972044363	0.9835721109	0.6165169204	0.3652843851	0.2746737401	0.2746737401	0.1168427393	0.058653069	0.0431976126
P26646	Probable acrylyl-CoA reductase AcuI OS=Escherichia coli (strain K12) GN=acuI PE=1 SV=1	0	0	0	0	0	0	0	1	0.9396937091	0.9533532261	0.7541541165	0.0955067627	0.0562548739	0.0562548739	0.0134066686	0.0105959629	0.0112939154
P22333	Adenosine deaminase OS=Escherichia coli (strain K12) GN=add PE=3 SV=2	0	0	0	0	0	0	0	1	0.9186728458	0.8597565171	0.1823225432	0.0785146709	0.0412761416	0.0412761416	0.0137465201	0.0094985396	0.0103490035
P31441	Adenine deaminase OS=Escherichia coli (strain K12) GN=ade PE=1 SV=2	0	0	0	0	0	0	0	1	0.9786211628	0.9677135364	0.7400007277	0.4899241086	0.2645745063	0.2645745063	0.0397004081	0.0255043085	0.0242690516
P31466	Adenine permease AdeP OS=Escherichia coli (strain K12) GN=adeP PE=1 SV=2	0	0	0	0	0	0	0	1	0.9447998599	0.9710430993	0.7632453537	0.7774558472	0.715072517	0.715072517	0.0505447787	0.0315209255	0.0287204724
P0A9Q7	Aldehyde-alcohol dehydrogenase OS=Escherichia coli (strain K12) GN=adhE PE=1 SV=2	0	0	0	0	0	0	0	1	0.9415535238	0.9453945645	0.562574198	0.5439590353	0.307157467	0.307157467	0.0191270826	0.013687312	0.0145858137
P39451	"Alcohol dehydrogenase	0	0	0	0	0	0	0	Cytosol	1	0.9821360316	0.9647497031	0.8861667515	0.8764467402	0.8764467402	0.0289385177	0.029744899	0.0250035322
P69441	Adenylate kinase OS=Escherichia coli (strain K12) GN=adk PE=1 SV=1	0	0	0	0	0	0	0	1	0.9508560005	0.9201256392	0.7958603952	0.1760629477	0.11715468	0.11715468	0.121989133	0.1567719561	0.2221343823
P0ACK2	Putative aga operon transcriptional repressor OS=Escherichia coli (strain K12) GN=agaR PE=4 SV=1	0	0	0	0	0	0	0	1	1.044357359	0.9798803472	0.814113614	0.407777139	0.1765442908	0.1765442908	0.0398749549	0.0266018871	0.024855849
P19926	Glucose-1-phosphatase OS=Escherichia coli (strain K12) GN=agp PE=1 SV=1	0	0	0	0	0	0	0	1	0.9652490003	0.9731764682	0.9124489316	0.880811472	0.1752662101	0.1752662101	0.0405451257	0.0306848461	0.0443849402
P0AE08	Alkyl hydroperoxide reductase subunit C OS=Escherichia coli (strain K12) GN=ahpC PE=1 SV=2	0	0	0	0	0	0	0	1	0.9942106537	0.9739009972	0.9553616707	1.0207101777	0.6635941682	0.6635941682	0.0449676481	0.0397937999	0.0533708978
P35340	Alkyl hydroperoxide reductase subunit F OS=Escherichia coli (strain K12) GN=ahpF PE=1 SV=2	0	0	0	0	0	0	0	1	0.9575561095	0.9356946047	0.8607411451	0.5521607292	0.0675900799	0.0675900799	0.0222126567	0.0168198992	0.0182905384
P27250	Aldehyde reductase Ahr OS=Escherichia coli (strain K12) GN=ahr PE=1 SV=2	0	0	0	0	0	0	0	1	0.9900176375	0.9579059688	0.8337202933	0.7371612471	0.5559357951	0.5559357951	0.0648948384	0.0393487028	0.044169384
P33224	Putative acyl-CoA dehydrogenase AidB OS=Escherichia coli (strain K12) GN=aidB PE=1 SV=3	0	0	0	0	0	0	0	1	1.0036145344	0.9633779286	0.7653334144	0.6765908043	0.4387325109	0.4387325109	0.0541354506	0.0382007847	0.0414379093
P0A959	Glutamate-pyruvate aminotransferase AlaA OS=Escherichia coli (strain K12) GN=alaA PE=1 SV=1	0	0	0	0	0	0	0	1	0.9794633936	0.9282353629	0.4483921211	0.2130626376	0.1288276925	0.1288276925	0.0307392642	0.0243359324	0.0249544421
P77434	Glutamate-pyruvate aminotransferase AlaC OS=Escherichia coli (strain K12) GN=alaC PE=1 SV=1	0	0	0	0	0	0	0	1	0.9688498937	0.945128646	0.6488673	0.2393871879	0.1435860694	0.1435860694	0.0454745427	0.0340155612	0.0405558159
P00957	Alanine--tRNA ligase OS=Escherichia coli (strain K12) GN=alaS PE=1 SV=2	0	0	0	0	0	0	0	1	0.9124454076	0.8417951887	0.9195208778	0.1567694012	0.035318577	0.035318577	0.0124969541	0.0101316569	0.0110794872
P25553	Lactaldehyde dehydrogenase OS=Escherichia coli (strain K12) GN=aldA PE=1 SV=2	0	0	0	0	0	0	0	1	0.966852052	0.9633259937	0.8963292973	0.3434893784	0.1213829056	0.1213829056	0.0239908528	0.020863113	0.0242693803
P37685	Aldehyde dehydrogenase B OS=Escherichia coli (strain K12) GN=aldB PE=1 SV=2	0	0	0	0	0	0	0	1	0.9669659654	0.9596606848	0.8703509927	0.3963167094	0.126265936	0.126265936	0.027180132	0.015237548	0.0164593896
P75713	(S)-ureidoglycine aminohydrolase OS=Escherichia coli (strain K12) GN=allE PE=1 SV=1	0	0	0	0	0	0	0	1	1.0104766853	0.9774456191	0.6447094867	0.3676891718	0.2968516324	0.2968516324	0.1616334342	0.0737529185	0.0591847184
P0ACN4	HTH-type transcriptional repressor AllR OS=Escherichia coli (strain K12) GN=allR PE=1 SV=1	0	0	0	0	0	0	0	1	0.9946055368	0.964828778	0.6589897841	0.2574764709	0.1223501549	0.1223501549	0.0353970552	0.0188416455	0.0256450508
P0A6B4	"Alanine racemase	0	0	0	0	0	0	0	Cytosol	1	1.0028759352	0.9474593113	0.3225475892	0.1598100523	0.1598100523	0.044684915	0.0351428822	0.0248947174
P39265	D-allose-binding periplasmic protein OS=Escherichia coli (strain K12) GN=alsB PE=1 SV=1	0	0	0	0	0	0	0	1	0.9703085657	0.9617284187	0.3472115945	0.2676140924	0.202652866	0.202652866	0.1857522971	0.2457127324	0.3359924965
P36548	N-acetylmuramoyl-L-alanine amidase AmiA OS=Escherichia coli (strain K12) GN=amiA PE=1 SV=1	0	0	0	0	0	0	0	1	0.9818165209	0.9458215033	0.5855830914	0.2070193429	0.1344065708	0.1344065708	0.0445049045	0.0368071443	0.0360362754
P26365	N-acetylmuramoyl-L-alanine amidase AmiB OS=Escherichia coli (strain K12) GN=amiB PE=1 SV=2	0	0	0	0	0	0	0	1	0.9873094053	0.979851123	0.652906819	0.200092894	0.1099463941	0.1099463941	0.0427832554	0.0324245797	0.047232398
P63883	N-acetylmuramoyl-L-alanine amidase AmiC OS=Escherichia coli (strain K12) GN=amiC PE=1 SV=1	0	0	0	0	0	0	0	1	1.0119393621	0.9627961153	0.4826675343	0.1928867523	0.0969042834	0.0969042834	0.0298620412	0.0218494111	0.0247386936
P0AE12	AMP nucleosidase OS=Escherichia coli (strain K12) GN=amn PE=1 SV=1	0	0	0	0	0	0	0	1	0.9898651403	0.9631100965	0.8277425568	0.769101544	0.6836268957	0.6836268957	0.0407239133	0.0303415687	0.0314551776
P00811	Beta-lactamase OS=Escherichia coli (strain K12) GN=ampC PE=1 SV=1	0	0	0	0	0	0	0	1	1.0050065184	1.0131270424	0.7107141318	0.3514581884	0.1508373576	0.1508373576	0.0474620327	0.0392555792	0.0373618622
