Accession	Description	GeneName	Peptides	PSMs	AAs	MW.kDA	pI	QuantifyingPSMs	T37	T40	T47	T53	T59	T63	T69	T75	T81	T87
P31119	Bifunctional protein Aas OS=Escherichia coli (strain K12) GN=aas PE=1 SV=2	0	0	0	0	0	0	0	1	1.0200953197	1.0028956301	0.8290493025	0.5465735366	0.1551059167	0.1551059167	0.0346046902	0.0230599483	0.0260958557
P0ABD5	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha OS=Escherichia coli (strain K12) GN=accA PE=1 SV=2	0	0	0	0	0	0	0	1	0.9959962518	0.953178521	0.8468304463	0.7385233738	0.0868982774	0.0868982774	0.0242617136	0.0202373371	0.0232528193
P0ABD8	Biotin carboxyl carrier protein of acetyl-CoA carboxylase OS=Escherichia coli (strain K12) GN=accB PE=1 SV=1	0	0	0	0	0	0	0	1	0.9390880931	0.8900145343	0.9555499847	0.6463201587	0.2558106457	0.2558106457	0.2145896253	0.2331880391	0.2590387125
P24182	Biotin carboxylase OS=Escherichia coli (strain K12) GN=accC PE=1 SV=2	0	0	0	0	0	0	0	1	0.956814033	0.9706904236	0.9289479125	0.3787929722	0.0963521	0.0963521	0.0394533966	0.0335544014	0.0384673081
P0A9Q5	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta OS=Escherichia coli (strain K12) GN=accD PE=1 SV=1	0	0	0	0	0	0	0	1	0.9795351555	0.9730321719	0.8890353959	0.7861604447	0.1270958355	0.1270958355	0.0286505768	0.0234473716	0.0293973602
P0A9G6	Isocitrate lyase OS=Escherichia coli (strain K12) GN=aceA PE=1 SV=1	0	0	0	0	0	0	0	1	0.9786821067	0.9750929292	0.6347654084	0.0936362693	0.0618719721	0.0618719721	0.0180131674	0.0122318612	0.0138454982
P08997	Malate synthase A OS=Escherichia coli (strain K12) GN=aceB PE=1 SV=1	0	0	0	0	0	0	0	1	0.9685941329	0.9809264888	0.6008136741	0.1178158897	0.0728974687	0.0728974687	0.0247049869	0.0200839025	0.0204646188
P0AFG8	Pyruvate dehydrogenase E1 component OS=Escherichia coli (strain K12) GN=aceE PE=1 SV=2	0	0	0	0	0	0	0	1	0.969063442	0.9566946684	0.7918244179	0.2277080212	0.0601002273	0.0601002273	0.0156544608	0.0118545855	0.0132533891
P06959	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex OS=Escherichia coli (strain K12) GN=aceF PE=1 SV=3	0	0	0	0	0	0	0	1	0.9651032352	0.9389403018	0.8179811007	0.2346452722	0.0595276788	0.0595276788	0.0222295674	0.01702367	0.0199659775
P0A6A3	Acetate kinase OS=Escherichia coli (strain K12) GN=ackA PE=1 SV=1	0	0	0	0	0	0	0	1	0.9902320688	0.9905852263	0.9924652709	0.9759212627	0.893936043	0.893936043	0.1024969626	0.0232290014	0.0234333265
P25516	Aconitate hydratase A OS=Escherichia coli (strain K12) GN=acnA PE=1 SV=3	0	0	0	0	0	0	0	1	0.9945939459	0.991262356	0.9056076848	0.6478366933	0.4142904649	0.4142904649	0.1673670973	0.0536273442	0.0351742075
P36683	Aconitate hydratase B OS=Escherichia coli (strain K12) GN=acnB PE=1 SV=3	0	0	0	0	0	0	0	1	0.9780490977	0.9785466829	0.5747097199	0.0992208905	0.0712572977	0.0712572977	0.0198764101	0.0186450897	0.0224624169
P0A6A8	Acyl carrier protein OS=Escherichia coli (strain K12) GN=acpP PE=1 SV=2	0	0	0	0	0	0	0	1	1.1613999826	0.9466463475	1.0746334432	0.4814665229	0.3676480184	0.3676480184	0.1927711611	0.158479158	0.2281378293
P24224	Holo-[acyl-carrier-protein] synthase OS=Escherichia coli (strain K12) GN=acpS PE=1 SV=3	0	0	0	0	0	0	0	1	0.9946700713	0.9779053267	0.6177401431	0.3432922642	0.1744710649	0.1744710649	0.0551919138	0.0403968549	0.0425175569
P0AE06	Multidrug efflux pump subunit AcrA OS=Escherichia coli (strain K12) GN=acrA PE=1 SV=1	0	0	0	0	0	0	0	1	0.988583305	0.9843325582	0.8777375622	0.781907745	0.6932904334	0.6932904334	0.1332374394	0.1532074758	0.2231738487
P31224	Multidrug efflux pump subunit AcrB OS=Escherichia coli (strain K12) GN=acrB PE=1 SV=1	0	0	0	0	0	0	0	1	0.9304974733	0.8576433455	0.7614497481	0.830592601	0.8121447371	0.8121447371	0.0421190756	0.0302890909	0.0239207571
P27550	Acetyl-coenzyme A synthetase OS=Escherichia coli (strain K12) GN=acs PE=1 SV=2	0	0	0	0	0	0	0	1	0.9828850274	0.9849848462	0.8545949141	0.2250605652	0.1301939253	0.1301939253	0.0420867704	0.0268881201	0.0298430822
P32705	Cation/acetate symporter ActP OS=Escherichia coli (strain K12) GN=actP PE=1 SV=1	0	0	0	0	0	0	0	1	0.977839544	0.9714001334	0.6566965572	0.4326570298	0.3601228745	0.3601228745	0.1710315134	0.0841655963	0.038346352
P26646	Probable acrylyl-CoA reductase AcuI OS=Escherichia coli (strain K12) GN=acuI PE=1 SV=1	0	0	0	0	0	0	0	1	0.9701731494	0.9814968812	0.7695107292	0.1257266361	0.0829571144	0.0829571144	0.0342569373	0.0269719274	0.0340206477
P22333	Adenosine deaminase OS=Escherichia coli (strain K12) GN=add PE=3 SV=2	0	0	0	0	0	0	0	1	0.9879230163	0.8372548778	0.1634484429	0.0873197538	0.0459620967	0.0459620967	0.0142540894	0.0095678189	0.0113482647
P31441	Adenine deaminase OS=Escherichia coli (strain K12) GN=ade PE=1 SV=2	0	0	0	0	0	0	0	1	0.978583382	0.9737574726	0.7936625936	0.5079801914	0.2877576631	0.2877576631	0.0318508235	0.0200800382	0.0189594278
P31466	Adenine permease AdeP OS=Escherichia coli (strain K12) GN=adeP PE=1 SV=2	0	0	0	0	0	0	0	1	0.9746514817	0.9484789915	0.7061552831	0.538911852	0.4797777639	0.4797777639	0.0546385478	0.0384830925	0.0357509764
P0A9Q7	Aldehyde-alcohol dehydrogenase OS=Escherichia coli (strain K12) GN=adhE PE=1 SV=2	0	0	0	0	0	0	0	1	0.929356574	0.9494185667	0.4833682032	0.5704756904	0.316889728	0.316889728	0.0199069421	0.0147408274	0.0179000668
