Accession	Description	GeneName	Peptides	PSMs	AAs	MW.kDA	pI	QuantifyingPSMs	T37	T40	T47	T53	T63	T69	T75	T81
P31119	Bifunctional protein Aas [Includes: 2-acylglycerophosphoethanolamine acyltransferase (EC 2.3.1.40) (2-acyl-GPE acyltransferase) (Acyl-[acyl-carrier-protein]--phospholipid O-acyltransferase); Acyl-[acyl-carrier-protein] synthetase (EC 6.2.1.20) (Acyl-ACP synthetase) (Long-chain-fatty-acid--[acyl-carrier-protein] ligase)]	0	0	133253109.879536	120685869.389912	126012452.437361	121521382.718897	95623353.5686383	105580788.409986	101117857.748745	104854873.727092
P0ABD5	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 6.4.1.2)	0	0	545193149.687467	508584028.184313	523676232.996959	519539649.441602	514584035.217611	551625051.893108	535727369.817078	539992840.278324
P0ABD8	Biotin carboxyl carrier protein of acetyl-CoA carboxylase (BCCP)	0	0	192915071.905951	186330793.495321	185653548.953467	183454390.811273	187329849.797367	193949431.362764	194656938.407615	196990387.005605
P24182	Biotin carboxylase (EC 6.3.4.14) (Acetyl-CoA carboxylase subunit A) (ACC) (EC 6.4.1.2)	0	0	1015783922.11902	982803729.903653	1024605664.11983	1006477401.57991	986453630.022556	1019556302.85519	977960372.836336	995574998.226428
P0A9Q5	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta (ACCase subunit beta) (Acetyl-CoA carboxylase carboxyltransferase subunit beta) (EC 6.4.1.2)	0	0	513786572.588323	479690632.547408	496252427.320404	489109676.951022	500436393.424663	536006921.816858	518118371.258083	525684752.301201
P0A9G6	Isocitrate lyase (ICL) (EC 4.1.3.1) (Isocitrase) (Isocitratase)	0	0	1186407200.96697	1115926135.18433	1187709275.99197	1158409302.77553	1072672723.23511	1140421935.64789	1071496761.75097	1098598431.55419
P08997	Malate synthase A (MSA) (EC 2.3.3.9)	0	0	636691045.870646	625663321.987056	633186579.771767	638771124.038529	653533282.418076	665052232.521078	657150360.394605	651405133.130195
P0AFG8	Pyruvate dehydrogenase E1 component (PDH E1 component) (EC 1.2.4.1)	0	0	4635845490.85558	4504706924.70878	4809779205.54039	4669535919.51035	4021777687.65096	4138857481.77178	3876340090.0074	3992760796.76785
P06959	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.12) (Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex) (E2)	0	0	1938960829.1911	1901205702.99873	1905177729.09262	1915616975.63366	1814799926.4754	1850839162.06674	1846980424.19938	1836915215.83573
P11071	Isocitrate dehydrogenase kinase/phosphatase (IDH kinase/phosphatase) (IDHK/P) (EC 2.7.11.5) (EC 3.1.3.-)	0	0	9118835.36988413	9227287.77347559	9023644.25581349	9553879.2360367	9102682.12524643	8995694.26707534	9198707.01585251	8688183.89617228
P0A6A3	Acetate kinase (EC 2.7.2.1) (Acetokinase)	0	0	806869347.084411	776250346.186763	794112234.09156	804134857.455469	747892323.77276	777392749.563785	759906931.370098	750435558.634372
P25516	Aconitate hydratase A (ACN) (Aconitase) (EC 4.2.1.3) (Iron-responsive protein-like) (IRP-like) (RNA-binding protein) (Stationary phase enzyme)	0	0	490441255.193961	483116504.511586	499403642.953456	494545271.965719	494170339.210365	501662682.145325	485301869.262784	490069433.842965
P36683	"Aconitate hydratase B (ACN) (Aconitase) (EC 4.2.1.3) ((2R	0	0	3R)-3-hydroxybutane-1	2	3-tricarboxylate dehydratase) (2-methyl-cis-aconitate hydratase) (EC 4.2.1.99) (Iron-responsive protein-like) (IRP-like) (RNA-binding protein)"	Cytosol	955281474.511565	955506884.889241	985670800.319637	986371188.005162
P0A6A8	Acyl carrier protein (ACP) (Cytosolic-activating factor) (CAF) (Fatty acid synthase acyl carrier protein)	0	0	273357005.437321	286243868.326799	237118458.157556	233877166.769998	207123974.129533	197799134.190312	238778498.149247	242087716.831319
P0AE06	Multidrug efflux pump subunit AcrA (AcrAB-TolC multidrug efflux pump subunit AcrA) (Acridine resistance protein A)	0	0	355578037.655982	370374906.125729	370897978.273726	360305088.663594	382813252.66175	367519459.117892	367001151.64745	377790904.022618
